"","RESP_RR","RESP_DET","RESP_NRLINE","RESP_maxL","RESP_L","RESP_ENTR","RESP_rENTR","RESP_LAM","RESP_TT","RESP_n","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","HR_n","condition","group"
"1",5.28881934789336,90.6961182458269,65604,39,4.19399731723675,1.9389555372146,0.536970261889651,95.5624851665304,4.92518093167069,"Study2_G9_T2_Conversation.csv",10.3957968366991,94.2345781807685,87089,54,6.4846880777136,2.43403049452492,0.635742615319615,97.9244014236681,9.16349952375747,"Study2_G9_T2_Conversation.csv",2,9
"2",6.81853722743538,94.9991434700457,63579,67,5.84397363909467,2.4122098947508,0.599254445345187,96.1911263496739,6.58687583164087,"Study2_G6_T1_TurnTaking.csv",9.01264414851441,87.4316971443199,79647,48,5.7034288799327,2.36903773880318,0.633827486307156,92.3038873202569,8.02380832873229,"Study2_G6_T1_TurnTaking.csv",1,6
"3",13.833856826122,97.8471368513712,56696,66,9.09700860730915,2.97717698019936,0.730140929704777,98.9453854209352,10.1893681866135,"Study1_G3_T1_SelfPaced.csv",9.27879233046166,94.9250408318739,48148,40,7.01325081000249,2.54305253315156,0.694147602467167,98.1778161342828,12.1947344530186,"Study1_G3_T1_SelfPaced.csv",1,3
"4",5.6251323869753,91.5951515376915,61677,61,4.79173760072637,2.11746114673009,0.549968823478251,96.3174744854475,5.79667244884636,"Study2_G8_T1_TurnTaking.csv",11.9647321737559,96.4222906212894,63094,95,10.5408755190668,3.13635058934502,0.696996277425846,97.3508973632208,16.017532978698,"Study2_G8_T1_TurnTaking.csv",1,8
"5",7.23925136141697,94.4983693620532,39341,41,5.59027477695026,2.35492296475369,0.638384364153568,95.3912456870808,5.37841897424716,"Study1_G4_T1_Synchronous.csv",13.332618547578,93.685239990081,50699,50,7.97351032564745,2.64477665104552,0.679573168455256,99.2685928291506,15.6505900836713,"Study1_G4_T1_Synchronous.csv",1,4
"6",6.08236540112709,93.7331965169138,68437,44,4.77843856393471,2.15562648770626,0.588396401076958,96.3601290966104,5.16797331365677,"Study2_G10_T1_Conversation.csv",8.71752554858355,96.6462905035937,71402,65,6.80224643567407,2.50201555508338,0.63322227968809,98.5058143699706,9.67874948677342,"Study2_G10_T1_Conversation.csv",1,10
"7",12.4175016670952,97.5482646352301,87942,65,7.90075276887039,2.81716329410219,0.690898203353772,99.161835874267,10.3408538549384,"Study2_G5_T1_Synchronous.csv",17.946916120782,95.6694542066337,121193,72,8.16713836607725,2.80786872914484,0.658709734284281,97.7959683125138,10.8744357508276,"Study2_G5_T1_Synchronous.csv",1,5
"8",4.76485022293313,90.4900242579021,60095,44,4.11550045760879,1.90501591052426,0.535816993885603,94.6149652596108,5.039364708175,"Study2_G9_T3_TurnTaking.csv",9.11863219563,93.7464687989256,83163,39,5.92568810648966,2.28599109433524,0.653792692893954,96.4681331098729,8.29511066036347,"Study2_G9_T3_TurnTaking.csv",3,9
"9",5.60332353370447,92.7372451542563,49558,44,5.02891561402801,2.22209941446877,0.606540746166042,94.4619540747411,5.33786113797889,"Study1_G3_T2_TurnTaking.csv",9.05668445028384,95.1617741001165,51469,44,8.07515203326274,2.58424054903933,0.687078716778886,98.4721271388045,17.9064868015655,"Study1_G3_T2_TurnTaking.csv",2,3
"10",10.3510357782611,94.8532854558745,95780,63,5.87993318020464,2.41890923431748,0.612189327360934,96.2650192509154,6.65357438040581,"Study2_G6_T2_Conversation.csv",5.49356343783593,86.2463016233387,44290,36,6.16699029126214,2.44275598749691,0.687065217033513,90.8697066243965,9.42483788563568,"Study2_G6_T2_Conversation.csv",2,6
"11",7.54264703103475,96.7853105618527,23940,66,6.61629072681704,2.59198106797916,0.655991189758786,97.6609330604015,6.62495336787565,"Study1_G4_T2_SelfPaced.csv",14.4649387114898,95.9555895478048,32253,69,9.41354292623942,2.83246380963328,0.681063581942566,99.3233505682465,19.8128230992309,"Study1_G4_T2_SelfPaced.csv",2,4
"12",9.17649417497309,96.3645068260488,79371,66,6.39062125965403,2.55279996477766,0.649265812687844,98.5014229642492,8.53307220091835,"Study2_G7_T1_Conversation.csv",10.5782489282804,94.8928773480482,79079,66,7.31763173535325,2.64755699498331,0.660678030152294,97.9252724186843,10.4791176780262,"Study2_G7_T1_Conversation.csv",1,7
"13",7.83007128656126,94.1870198810709,58466,46,6.31226695857421,2.52967942588845,0.66453998290799,96.4612204272261,5.36682475222219,"Study1_G2_T3_SelfPaced.csv",9.51070045233111,94.6615171122369,70636,48,6.4123676312362,2.44920463762561,0.663942714336786,98.1180301282373,9.78844109000688,"Study1_G2_T3_SelfPaced.csv",3,2
"14",7.1565064657145,88.1417494317891,76068,33,4.75654677393911,2.12417742466994,0.612908047307922,90.5315238283163,5.34813205157725,"Study2_G8_T2_Synchronous.csv",17.6283274999432,97.3382219519443,81940,117,12.0721015377105,3.29364248885447,0.71996733877426,97.9138745057752,18.8161945463485,"Study2_G8_T2_Synchronous.csv",2,8
"15",10.325415115634,97.2335980591382,46846,62,8.00783418007941,2.84552407821534,0.70690073733549,98.1164206029942,8.37461560584943,"Study1_G3_T3_Synchronous.csv",13.2148369519972,96.7061897065661,57375,50,8.37430936819172,2.68214783030248,0.689175661991535,98.8376563125829,16.6068988840041,"Study1_G3_T3_Synchronous.csv",3,3
"16",5.75947629238018,94.5115251312942,59221,44,5.27233582681819,2.27397410585839,0.61644034025628,96.8223026046948,5.31428808772221,"Study2_G5_T2_TurnTaking.csv",17.0537022873816,97.3694757057182,110347,62,8.67491640008337,2.81477201860634,0.684713788748753,98.82220947359,11.3722696944867,"Study2_G5_T2_TurnTaking.csv",2,5
"17",6.28421831039788,95.8081078595272,32400,43,5.46558641975309,2.3502996459189,0.637131051625388,96.860409126076,5.06335199954749,"Study1_G4_T3_TurnTaking.csv",9.6757050766736,91.8088903932249,38591,47,6.81778134798269,2.45020706968289,0.66421445866179,97.298476161896,11.6206292977704,"Study1_G4_T3_TurnTaking.csv",3,4
"18",6.13733378079768,94.6369578370578,68019,53,4.89802849203899,2.19144870604579,0.598174377210476,96.1646294870739,5.12515517606807,"Study2_G10_T2_TurnTaking.csv",12.5687946557045,96.081240356296,101880,71,6.8332548095799,2.42600198768443,0.608175404906407,97.7749438974503,8.82554315327885,"Study2_G10_T2_TurnTaking.csv",2,10
"19",5.69015999755929,88.8436803936407,66753,48,4.34401450122092,1.97219738398598,0.527654283390561,94.8202911250073,5.00538573508006,"Study2_G8_T3_Conversation.csv",10.7575959690543,94.9955978676264,65708,114,8.9657119376636,2.93779475523721,0.633865488726102,96.7279095192484,14.3452745360628,"Study2_G8_T3_Conversation.csv",3,8
"20",6.18416063388845,90.8016068785679,74436,56,4.32715352786286,1.97637152873705,0.532202282125367,97.3142575234336,7.56366265693814,"Study2_G7_T2_Synchronous.csv",11.0315516528671,97.0692526263981,85240,76,7.2420107930549,2.58652924852967,0.634336111957843,98.6884127136381,10.1648122054322,"Study2_G7_T2_Synchronous.csv",2,7
"21",9.41631181872464,96.6120617193893,85798,49,6.08199491829646,2.49913671455631,0.660415295300259,97.6888554807988,6.31592870566548,"Study2_G10_T3_Synchronous.csv",9.07531760419831,94.8850669184631,83149,47,5.97017402494317,2.26082391821236,0.608800334988188,97.3337742318999,7.98220863704052,"Study2_G10_T3_Synchronous.csv",3,10
"22",6.45983934867787,95.1899670209263,65681,62,5.37012225757829,2.30333163717453,0.585817340932938,96.8159810869601,5.52741055745586,"Study2_G5_T3_Conversation.csv",10.2727743767738,92.4671355358364,76016,61,7.20368080404125,2.69448135637125,0.658098339165888,95.1060865747503,9.02268394662224,"Study2_G5_T3_Conversation.csv",3,5
"23",10.1186901510779,95.7622495016263,39111,63,7.00092045716039,2.66412314939396,0.695840344785747,98.0026579932151,8.46787743261211,"Study1_G1_T3_SelfPaced.csv",11.9142900010506,95.9038802395916,49414,50,6.58088800744728,2.48079562491521,0.672506558095457,98.2411074770627,9.26703944806098,"Study1_G1_T3_SelfPaced.csv",3,1
"24",5.1160167537624,91.9688130418189,57310,67,4.70926539870878,2.1017265955512,0.50924598025374,98.2573196663214,8.94721817109877,"Study2_G7_T3_TurnTaking.csv",8.94055146049274,97.3950582551586,73153,45,6.86204256831572,2.5217670868602,0.666395537965968,98.8385832500655,9.79802661947992,"Study2_G7_T3_TurnTaking.csv",3,7
